PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
15-509;FUP Bia³ystok 8;Sobolewo;Szosa Baranowicka;92;Supraœl;bia³ostocki;podlaskie
15-436;UP Bia³ystok 9;Bia³ystok;Rynek Koœciuszki;13;Bia³ystok;Bia³ystok;podlaskie
15-770;UP Bia³ystok 10;Bia³ystok;Hugo Ko³³¹taja;7;Bia³ystok;Bia³ystok;podlaskie
15-821;UP Bia³ystok 11;Bia³ystok;Zagórna;2 B;Bia³ystok;Bia³ystok;podlaskie
15-807;FUP Bia³ystok 11;Bia³ystok;Dziesiêciny;45;Bia³ystok;Bia³ystok;podlaskie
15-641;UP Bia³ystok 13;Bia³ystok;Nowosielska;34;Bia³ystok;Bia³ystok;podlaskie
15-308;UP Bia³ystok 14;Bia³ystok;Weso³a;18;Bia³ystok;Bia³ystok;podlaskie
15-792;UP Bia³ystok 16;Bia³ystok;W³adys³awa Broniewskiego;4;Bia³ystok;Bia³ystok;podlaskie
15-880;UP Bia³ystok 17;Bia³ystok;Sto³eczna;25;Bia³ystok;Bia³ystok;podlaskie
15-378;UP Bia³ystok 18;Bia³ystok;gen. Józefa Bema;66;Bia³ystok;Bia³ystok;podlaskie
15-859;UP Bia³ystok 19;Bia³ystok;Bia³ostoczek;21;Bia³ystok;Bia³ystok;podlaskie
15-471;FUP Bia³ystok 19;Bia³ystok;Ciep³a;15;Bia³ystok;Bia³ystok;podlaskie
15-664;UP Bia³ystok 20;Bia³ystok;Konwaliowa;2;Bia³ystok;Bia³ystok;podlaskie
15-168;UP Bia³ystok 23;Bia³ystok;W³adys³awa Wysockiego;67/A10;Bia³ystok;Bia³ystok;podlaskie
15-057;UP Bia³ystok 24;Bia³ystok;Boles³awa Chrobrego;2;Bia³ystok;Bia³ystok;podlaskie
15-212;FUP Bia³ystok 24;Bia³ystok;ks. Stanis³awa Andrukiewicza;2/2U;Bia³ystok;Bia³ystok;podlaskie
15-148;UP Bia³ystok 25;Bia³ystok;Wasilkowska;1;Bia³ystok;Bia³ystok;podlaskie
15-017;FUP Bia³ystok 25;Bia³ystok;£¹kowa;3/6;Bia³ystok;Bia³ystok;podlaskie
15-662;UP Bia³ystok 26;Bia³ystok;Wincentego Witosa;32;Bia³ystok;Bia³ystok;podlaskie
15-695;FUP Bia³ystok 26;Bia³ystok;Bacieczki;212;Bia³ystok;Bia³ystok;podlaskie
15-100;UP Bia³ystok 27;Bia³ystok;Bitwy Bia³ostockiej;8A;Bia³ystok;Bia³ystok;podlaskie
15-675;UP Bia³ystok 28;Bia³ystok;Ekologiczna;16;Bia³ystok;Bia³ystok;podlaskie
15-154;UP Bia³ystok 29;Bia³ystok;Trawiasta;16;Bia³ystok;Bia³ystok;podlaskie
15-280;UP Bia³ystok 30;Bia³ystok;Jerzego Waszyngtona;22 B;Bia³ystok;Bia³ystok;podlaskie
15-775;UP Bia³ystok 31;Bia³ystok;Aleja Konstytucji 3 Maja;22;Bia³ystok;Bia³ystok;podlaskie
15-699;UP Bia³ystok 32;Bia³ystok;ks. Witolda Pietkuna;5;Bia³ystok;Bia³ystok;podlaskie
15-330;UP Bia³ystok 33;Bia³ystok;Zachodnia;5 B;Bia³ystok;Bia³ystok;podlaskie
15-001;FUP Bia³ystok 33;Bia³ystok;Kawaleryjska;34;Bia³ystok;Bia³ystok;podlaskie
15-601;FUP Bia³ystok 33;skrytki/przegródki;;;Bia³ystok;Bia³ystok;podlaskie
15-900;PP Bia³ystok B102;Bia³ystok;Welurowa;6;Bia³ystok;Bia³ystok;podlaskie
15-700;PP Bia³ystok B103;Bia³ystok;Zwyciêstwa;1/2;Bia³ystok;Bia³ystok;podlaskie
19-209;AP Biebrza;Biebrza;Lipowa;22;Rajgród;grajewski;podlaskie
28-132;AP Biechów;Biechów;;13;Pacanów;buski;œwiêtokrzyskie
38-340;UP Biecz;Biecz;Kazimierza Wielkiego;9;Biecz;gorlicki;ma³opolskie
38-305;FUP Biecz;Lipinki;;53;Lipinki;gorlicki;ma³opolskie
68-343;AP Biecz;Biecz;;61;Brody;¿arski;lubuskie
62-305;AP Bieganowo;Bieganowo;;18;Ko³aczkowo;wrzesiñski;wielkopolskie
55-077;UP Bielany Wroc³awskie 4;Bielany Wroc³awskie;Francuska;6;Kobierzyce;wroc³awski;dolnoœl¹skie
58-260;UP Bielawa 1;Bielawa;Piastowska;16;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-260;FUP Bielawa 1;Bielawa;Stefana ¯eromskiego;21;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-261;FUP Bielawa 1;skrytki/przegródki;;;Bielawa;dzier¿oniowski;dolnoœl¹skie
58-263;UP Bielawa 4;Bielawa;Jana III Sobieskiego;17;Bielawa;dzier¿oniowski;dolnoœl¹skie
74-503;AP Bielin;Bielin;;36;Moryñ;gryfiñski;zachodniopomorskie
26-004;UP Bieliny;Bieliny;¯eromskiego;2;Bieliny;kielecki;œwiêtokrzyskie
09-230;UP Bielsk;Bielsk;Sierpecka;4;Bielsk;p³ocki;mazowieckie
17-100;UP Bielsk Podlaski 1;Bielsk Podlaski;Adama Mickiewicza;20;Bielsk Podlaski;bielski;podlaskie
17-100;FUP Bielsk Podlaski 1;Bielsk Podlaski;Bia³owieska;111;Bielsk Podlaski;bielski;podlaskie
17-111;FUP Bielsk Podlaski 1;Boæki;Armii Krajowej Pl.;6A;Boæki;bielski;podlaskie
17-106;FUP Bielsk Podlaski 1;Orla;Adama Mickiewicza;5;Orla;bielski;podlaskie
17-102;UP Bielsk Podlaski 4;Bielsk Podlaski;Adama Mickiewicza;51;Bielsk Podlaski;bielski;podlaskie
43-314;AP Bielsko-Bia³a;Bielsko-Bia³a;I Armii Wojska Polskiego;b/n;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-382;AP Bielsko-Bia³a;Bielsko-Bia³a;Cieszyñska;396;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-303;AP Bielsko-Bia³a;Bielsko-Bia³a;Jana Sobieskiego;172;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-313;AP Bielsko-Bia³a;Bielsko-Bia³a;Leszczyñska;20;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-300;UP Bielsko-Bia³a 1;Bielsko-Bia³a;1 Maja;2;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-301;UP Bielsko-Bia³a 1;skrytki/przegródki;;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-300;FUP Bielsko-Bia³a 1;Bielsko-Bia³a;Aleja Armii Krajowej;220 A;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
43-300;FUP Bielsko-Bia³a 1;Bielsko-Bia³a;Górska;50;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
