PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
09-317;FUP Bie¿uñ;Lutocin;Stefana ¯eromskiego;2;Lutocin;¿uromiñski;mazowieckie
26-026;AP Bilcza;Bilcza;Marmurowa;2;Morawica;kielecki;œwiêtokrzyskie
23-400;UP Bi³goraj 1;Bi³goraj;Tadeusza Koœciuszki;81;Bi³goraj;bi³gorajski;lubelskie
23-400;FUP Bi³goraj 1;Bi³goraj;W³osiankarska;5;Bi³goraj;bi³gorajski;lubelskie
23-440;FUP Bi³goraj 1;Frampol;Bi³gorajska;23;Frampol;bi³gorajski;lubelskie
23-415;FUP Bi³goraj 1;Ksiê¿pol;Bi³gorajska;12;Ksiê¿pol;bi³gorajski;lubelskie
23-407;FUP Bi³goraj 1;Tereszpol-Zaorenda;Szkolna;3;Tereszpol;bi³gorajski;lubelskie
23-401;UP Bi³goraj 3;Bi³goraj;Plac Wolnoœci;9;Bi³goraj;bi³gorajski;lubelskie
63-452;AP Biniew;Biniew;;100;Ostrów Wielkopolski;ostrowski;wielkopolskie
77-324;AP Biñcze;Biñcze;;10A;Czarne;cz³uchowski;pomorskie
37-740;UP Bircza;Bircza;Rynek;9;Bircza;przemyski;podkarpackie
62-007;AP Biskupice;Biskupice;Dworcowa;3;Pobiedziska;poznañski;wielkopolskie
11-300;UP Biskupiec;Biskupiec;Dworcowa;3;Biskupiec;olsztyñski;warmiñsko-mazurskie
11-300;FUP Biskupiec;Biskupiec;Ludowa;48;Biskupiec;olsztyñski;warmiñsko-mazurskie
11-311;FUP Biskupiec;Kolno;;25;Kolno;olsztyñski;warmiñsko-mazurskie
13-340;UP Biskupiec k. I³awy;Biskupiec;Grudzi¹dzka;11;Biskupiec;nowomiejski;warmiñsko-mazurskie
11-230;UP Bisztynek;Bisztynek;pl. Wolnoœci;2;Bisztynek;bartoszycki;warmiñsko-mazurskie
42-290;UP Blachownia 1;Blachownia;Stefana ¯eromskiego;8;Blachownia;czêstochowski;œl¹skie
42-284;FUP Blachownia 1;Herby;Lubliniecka;33;Herby;lubliniecki;œl¹skie
42-274;FUP Blachownia 1;Konopiska;Lipowa;3;Konopiska;czêstochowski;œl¹skie
09-452;AP Blichowo;Blichowo;;61b;Bulkowo;p³ocki;mazowieckie
62-814;UP Blizanów;Blizanów;;31;Blizanów;kaliski;wielkopolskie
36-221;AP Blizne;Blizne;;504A;Jasienica Rosielna;brzozowski;podkarpackie
98-235;UP B³aszki;B³aszki;Sieradzka;57;B³aszki;sieradzki;³ódzkie
23-320;AP B³a¿ek;B³a¿ek;;207;Batorz;janowski;lubelskie
36-030;UP B³a¿owa Rzeszowska;B³a¿owa;3 Maja;9;B³a¿owa;rzeszowski;podkarpackie
86-100;AP B³¹dzim;B³¹dzim;G³ówna;12;Lniano;œwiecki;kujawsko-pomorskie
87-866;AP B³enna;B³enna;;9;Izbica Kujawska;w³oc³awski;kujawsko-pomorskie
05-620;UP B³êdów;B³êdów;Nowy Rynek;15;B³êdów;grójecki;mazowieckie
05-870;UP B³onie;B³onie;Targowa;3 A;B³onie;warszawski zachodni;mazowieckie
05-872;FUP B³onie;B³onie;Nowakowskiego;2/4;B³onie;warszawski zachodni;mazowieckie
05-085;FUP B³onie;Kampinos;Fryderyka Chopina;1;Kampinos;warszawski zachodni;mazowieckie
05-084;FUP B³onie;Leszno;B³oñska;20;Leszno;warszawski zachodni;mazowieckie
72-200;AP B³otno;B³otno;;1;Nowogard;goleniowski;zachodniopomorskie
76-020;UP Bobolice;Bobolice;Pocztowa;9;Bobolice;koszaliñski;zachodniopomorskie
76-020;AP Bobolice;Bobolice;pl. Zwyciêstwa;20;Bobolice;koszaliñski;zachodniopomorskie
38-350;UP Bobowa;Bobowa;Pocztowa;2;Bobowa;gorlicki;ma³opolskie
83-212;AP Bobowo;Bobowo;Gdañska;71;Bobowo;starogardzki;pomorskie
08-500;AP Bobrowniki;Bobrowniki;Krasnogliñska;8;Ryki;rycki;lubelskie
42-583;UP Bobrowniki k. Bêdzina;Bobrowniki;Sienkiewicza;121 B;Bobrowniki;bêdziñski;œl¹skie
87-617;UP Bobrowniki n. Wis³¹;Bobrowniki;Senatorska;8;Bobrowniki;lipnowski;kujawsko-pomorskie
87-327;UP Bobrowo;Bobrowo;;20a;Bobrowo;brodnicki;kujawsko-pomorskie
32-700;UP Bochnia;Bochnia;Kazimierza Wielkiego;34;Bochnia;bocheñski;ma³opolskie
32-703;FUP Bochnia;Bochnia;Legionów Polskich;13/i;Bochnia;bocheñski;ma³opolskie
32-701;FUP Bochnia;Bochnia;Proszowska;69;Bochnia;bocheñski;ma³opolskie
32-709;FUP Bochnia;Drwinia;;57;Drwinia;bocheñski;ma³opolskie
32-708;FUP Bochnia;Dziewin;;292;Drwinia;bocheñski;ma³opolskie
32-765;FUP Bochnia;Rzezawa;Koœcielna;8;Rzezawa;bocheñski;ma³opolskie
32-702;AP Bochnia;Bochnia;Partyzantów;2a/0.70;Bochnia;bocheñski;ma³opolskie
32-706;AP Bochnia;Bochnia;Ksiêcia Józefa Poniatowskiego;22/a;Bochnia;bocheñski;ma³opolskie
32-705;AP Bochnia;Bochnia;Ksiêcia Józefa Poniatowskiego;34/c;Bochnia;bocheñski;ma³opolskie
09-470;UP Bodzanów;Bodzanów;Elizy Orzeszkowej;25;Bodzanów;p³ocki;mazowieckie
09-454;FUP Bodzanów;Bulkowo;Szkolna;1;Bulkowo;p³ocki;mazowieckie
26-010;UP Bodzentyn;Bodzentyn;Suchedniowska;1;Bodzentyn;kielecki;œwiêtokrzyskie
26-010;AP Bodzentyn;Bodzentyn;Langiewicza;20;Bodzentyn;kielecki;œwiêtokrzyskie
63-820;AP Bodzewo;Bodzewo;;72;Piaski;gostyñski;wielkopolskie
59-920;AP Bogatynia;Bogatynia;Jana Matejki;11;Bogatynia;zgorzelecki;dolnoœl¹skie
59-920;UP Bogatynia 1;Bogatynia;Pocztowa;1;Bogatynia;zgorzelecki;dolnoœl¹skie
59-916;FUP Bogatynia 1;Bogatynia;Parkowa;2;Bogatynia;zgorzelecki;dolnoœl¹skie
66-450;UP Bogdaniec;Bogdaniec;Mickiewicza;28;Bogdaniec;gorzowski;lubuskie
36-040;UP Boguchwa³a;Boguchwa³a;Suszyckich;33;Boguchwa³a;rzeszowski;podkarpackie
36-039;AP Boguchwa³a;Boguchwa³a;Kopernika;6A;Boguchwa³a;rzeszowski;podkarpackie
06-541;AP Bogurzyn;Bogurzyn;;65a;Wiœniewo;m³awski;mazowieckie
19-103;AP Boguszewo;Boguszewo;;63;Moñki;moniecki;podlaskie
58-370;UP Boguszów-Gorce 1;Boguszów-Gorce;Adama Mickiewicza;9;Boguszów-Gorce;wa³brzyski;dolnoœl¹skie
58-371;FUP Boguszów-Gorce 1;Boguszów-Gorce;Grunwaldzka;5;Boguszów-Gorce;wa³brzyski;dolnoœl¹skie
58-379;FUP Boguszów-Gorce 1;Czarny Bór;Kamiennogórska;11;Czarny Bór;wa³brzyski;dolnoœl¹skie
07-325;UP Boguty;Boguty-Pianki;Aleja Papie¿a Jana Paw³a II;45;Boguty-Pianki;ostrowski;mazowieckie
21-550;AP Bohuka³y;Bohuka³y;;51;Terespol;bialski;lubelskie
84-207;AP Bojano;Bojano;Gryfa Pomorskiego;1/A;Szemud;wejherowski;pomorskie
37-433;UP Bojanów k. Niska;Bojanów;Parkowa;5;Bojanów;stalowowolski;podkarpackie
59-700;AP Boles³awiec;Boles³awiec;Cicha;4c;Boles³awiec;boles³awiecki;dolnoœl¹skie
59-700;AP Boles³awiec;Boles³awiec;Kaszubska;1/1;Boles³awiec;boles³awiecki;dolnoœl¹skie
59-700;AP Boles³awiec;Boles³awiec;Masarska;1;Boles³awiec;boles³awiecki;dolnoœl¹skie
59-700;AP Boles³awiec;Boles³awiec;Œluzowa;13 a;Boles³awiec;boles³awiecki;dolnoœl¹skie
59-700;UP Boles³awiec Œl¹ski 1;Boles³awiec;Kaszubska;5;Boles³awiec;boles³awiecki;dolnoœl¹skie
59-706;FUP Boles³awiec Œl¹ski 1;Gromadka;11 Listopada;31;Gromadka;boles³awiecki;dolnoœl¹skie
59-722;FUP Boles³awiec Œl¹ski 1;Warta Boles³awiecka;;21;Warta Boles³awiecka;boles³awiecki;dolnoœl¹skie
59-703;UP Boles³awiec Œl¹ski 5;Boles³awiec;Adama Asnyka;22;Boles³awiec;boles³awiecki;dolnoœl¹skie
37-722;AP Bolestraszyce;Bolestraszyce;;182c;¯urawica;przemyski;podkarpackie
74-407;AP Boleszkowice;Boleszkowice;pl. Zwyciêstwa;1;Boleszkowice;myœliborski;zachodniopomorskie
64-305;AP Bolewice;Bolewice;Nowa;1;Miedzichowo;nowotomyski;wielkopolskie
59-420;UP Bolków;Bolków;Kamiennogórska;17;Bolków;jaworski;dolnoœl¹skie
84-239;AP Bolszewo;Bolszewo;Zamostna;39;Wejherowo;wejherowski;pomorskie
16-051;AP Bondary;Bondary;;1;Micha³owo;bia³ostocki;podlaskie
07-411;AP Borawe;Borawe;;107 A;Rzekuñ;ostro³êcki;mazowieckie
14-232;AP Boreczno;Boreczno;;12 A;Zalewo;i³awski;warmiñsko-mazurskie
27-440;AP Boria;Boria;;49B;Æmielów;ostrowiecki;œwiêtokrzyskie
39-307;AP Borki Niziñskie;Borki Niziñskie;;131;Tuszów Narodowy;mielecki;podkarpackie
46-300;AP Borki Wielkie;Borki Wielkie;Ojca Alarda;26 A;Olesno;oleski;opolskie
18-500;AP Borkowo;Borkowo;;127;Kolno;kolneñski;podlaskie
09-203;AP Borkowo Wielkie;Borkowo Wielkie;D³uga;2;Sierpc;sierpecki;mazowieckie
78-449;UP Borne Sulinowo;Borne Sulinowo;Aleja Niepodleg³oœci;16;Borne Sulinowo;szczecinecki;zachodniopomorskie
42-283;AP Boronów;Boronów;3 Maja;82;Boronów;lubliniecki;œl¹skie
39-305;UP Borowa k. Mielca;Borowa;;266;Borowa;mielecki;podkarpackie
39-304;FUP Borowa k. Mielca;Czermin;;143;Czermin;mielecki;podkarpackie
55-093;AP Borowa Oleœnicka;Borowa;Lipowa;13;D³ugo³êka;wroc³awski;dolnoœl¹skie
67-130;AP Borowina;Borowina;;36;Szprotawa;¿agañski;lubuskie
62-035;AP Borówiec;Borówiec;Polna;1;Kórnik;poznañski;wielkopolskie
64-300;AP Boruja Koœcielna;Boruja Koœcielna;Wolsztyñska;2;Nowy Tomyœl;nowotomyski;wielkopolskie
83-210;AP Borzechowo;Borzechowo;Szkolna;5A;Zblewo;starogardzki;pomorskie
97-532;AP Borzykowa;Borzykowa;Cmentarna;3;¯ytno;radomszczañski;³ódzkie
74-100;AP Borzym;Borzym;;22A;Gryfino;gryfiñski;zachodniopomorskie
19-314;AP Borzymy;Borzymy;;23;Kalinowo;e³cki;warmiñsko-mazurskie
88-401;AP Bo¿ejewiczki;Bo¿ejewiczki;Rolna;28;¯nin;¿niñski;kujawsko-pomorskie
63-640;UP Bralin;Bralin;Wroc³awska;44;Bralin;kêpiñski;wielkopolskie
14-500;UP Braniewo 1;Braniewo;Hozjusza;1;Braniewo;braniewski;warmiñsko-mazurskie
14-500;FUP Braniewo 1;Braniewo;Dembiñskiego;1;Braniewo;braniewski;warmiñsko-mazurskie
14-502;FUP Braniewo 1;Braniewo;Koœciuszki;66;Braniewo;braniewski;warmiñsko-mazurskie
14-530;FUP Braniewo 1;Frombork;Pocztowa;9;Frombork;braniewski;warmiñsko-mazurskie
17-120;UP Brañsk;Brañsk;Rynek;6;Brañsk;bielski;podlaskie
57-206;AP Braszowice;Braszowice;;109;Z¹bkowice Œl¹skie;z¹bkowicki;dolnoœl¹skie
36-072;AP Bratkowice;Bratkowice;;382B;Œwilcza;rzeszowski;podkarpackie
62-620;AP Brdów;Brdów;Koœcielna;3;Babiak;kolski;wielkopolskie
64-150;AP Brenno;Brenno;Koœcielna;13;Wijewo;leszczyñski;wielkopolskie
73-240;AP Breñ;Breñ;;34;Bierzwnik;choszczeñski;zachodniopomorskie
63-112;AP Brodnica;Brodnica;G³ówna;80;Brodnica;œremski;wielkopolskie
87-300;UP Brodnica 1;Brodnica;Pocztowa;5;Brodnica;brodnicki;kujawsko-pomorskie
87-303;FUP Brodnica 1;Brodnica;Pocztowa;5;Brodnica;brodnicki;kujawsko-pomorskie
87-301;FUP Brodnica 1;Brodnica;Stanis³awa Wyspiañskiego;8;Brodnica;brodnicki;kujawsko-pomorskie
87-302;FUP Brodnica 1;Brodnica;Zawiszy Czarnego;9;Brodnica;brodnicki;kujawsko-pomorskie
87-340;FUP Brodnica 1;Osiek;;81;Osiek;brodnicki;kujawsko-pomorskie
87-305;FUP Brodnica 1;Zbiczno;Szosa Brodnicka;52;Zbiczno;brodnicki;kujawsko-pomorskie
64-312;AP Brody;Brody;;30;Lwówek;nowotomyski;wielkopolskie
07-306;UP Brok;Brok;Warszawska;15;Brok;ostrowski;mazowieckie
64-031;AP Bronikowo;Bronikowo;Morownicka;16;Œmigiel;koœciañski;wielkopolskie
88-134;AP Brudnia;Brudnia;;13;D¹browa Biskupia;inowroc³awski;kujawsko-pomorskie
18-221;AP Brulino-Koski;Brulino-Piwki (Brulino-Koski);;18;Czy¿ew;wysokomazowiecki;podlaskie
89-632;UP Brusy;Brusy;Dworcowa;14;Brusy;chojnicki;pomorskie
33-192;AP Bruœnik;Bruœnik;;131 B;Ciê¿kowice;tarnowski;ma³opolskie
05-840;UP Brwinów;Brwinów;Pszczeliñska;2;Brwinów;pruszkowski;mazowieckie
49-301;AP Brzeg;Brzeg;Partyzantów;3;Brzeg;brzeski;opolskie
49-300;UP Brzeg 1;Brzeg;Piastowska;7;Brzeg;brzeski;opolskie
49-305;FUP Brzeg 1;Brzeg;Brzechwy;3;Brzeg;brzeski;opolskie
49-304;FUP Brzeg 1;Brzeg;Chocimska;7;Brzeg;brzeski;opolskie
49-306;FUP Brzeg 1;Brzeg;Plac Zamkowy;5;Brzeg;brzeski;opolskie
49-313;FUP Brzeg 1;Lubsza;Kamienna;1;Lubsza;brzeski;opolskie
49-300;FUP Brzeg 1;Skarbimierz-Osiedle;Parkowa;8A;Skarbimierz;brzeski;opolskie
49-302;UP Brzeg 2;Brzeg;Plac Dworcowy;2;Brzeg;brzeski;opolskie
56-120;UP Brzeg Dolny 1;Brzeg Dolny;Kolejowa;17;Brzeg Dolny;wo³owski;dolnoœl¹skie
56-122;FUP Brzeg Dolny 1;Brzeg Dolny;Osiedlowa;1;Brzeg Dolny;wo³owski;dolnoœl¹skie
56-120;FUP Brzeg Dolny 1;Brzeg Dolny;Zwyciêstwa;9;Brzeg Dolny;wo³owski;dolnoœl¹skie
32-801;AP Brzesko;Brzesko;Adama Mickiewicza;29;Brzesko;brzeski;ma³opolskie
32-800;UP Brzesko 1;Brzesko;Tadeusza Koœciuszki;5;Brzesko;brzeski;ma³opolskie
32-825;FUP Brzesko 1;Borzêcin;;583G;Borzêcin;brzeski;ma³opolskie
32-810;FUP Brzesko 1;Brzesko;Dworcowa;1 A;Brzesko;brzeski;ma³opolskie
32-800;FUP Brzesko 1;Brzesko;Partyzantów;1a;Brzesko;brzeski;ma³opolskie
32-860;FUP Brzesko 1;Czchów;Armii Krajowej;8;Czchów;brzeski;ma³opolskie
32-864;FUP Brzesko 1;Gnojnik;;430;Gnojnik;brzeski;ma³opolskie
32-861;FUP Brzesko 1;Iwkowa;;509;Iwkowa;brzeski;ma³opolskie
32-822;FUP Brzesko 1;Strzelce Wielkie;;47;Szczurowa;brzeski;ma³opolskie
32-820;FUP Brzesko 1;Szczurowa;Rynek;1;Szczurowa;brzeski;ma³opolskie
32-852;FUP Brzesko 1;Wola Dêbiñska;;240;Dêbno;brzeski;ma³opolskie
32-821;FUP Brzesko 1;Zaborów;;62 A;Szczurowa;brzeski;ma³opolskie
32-620;UP Brzeszcze;Brzeszcze;Ofiar Oœwiêcimia;31;Brzeszcze;oœwiêcimski;ma³opolskie
32-620;FUP Brzeszcze;Brzeszcze;Dworcowa;12;Brzeszcze;oœwiêcimski;ma³opolskie
32-620;FUP Brzeszcze;Jawiszowice;os. Osiedle Paderewskiego;12;Brzeszcze;oœwiêcimski;ma³opolskie
87-880;UP Brzeœæ Kujawski;Brzeœæ Kujawski;Krakowska;14A;Brzeœæ Kujawski;w³oc³awski;kujawsko-pomorskie
95-062;AP Brzeziny;Brzeziny;Przedwioœnie;2G;Brzeziny;brzeziñski;³ódzkie
95-060;UP Brzeziny k. £odzi;Brzeziny;Adama Mickiewicza;22;Brzeziny;brzeziñski;³ódzkie
95-061;FUP Brzeziny k. £odzi;Dmosin;;9;Dmosin;brzeziñski;³ódzkie
95-047;FUP Brzeziny k. £odzi;Je¿ów;Brzeziñska;13;Je¿ów;brzeziñski;³ódzkie
95-063;FUP Brzeziny k. £odzi;Rogów;¯eromskiego;11;Rogów;brzeziñski;³ódzkie
39-207;AP BrzeŸnica;BrzeŸnica;Po³udniowa;6;Dêbica;dêbicki;podkarpackie
64-915;AP BrzeŸnica;BrzeŸnica;;41;Jastrowie;z³otowski;wielkopolskie
87-600;AP BrzeŸno;BrzeŸno;;32;Lipno;lipnowski;kujawsko-pomorskie
77-139;AP BrzeŸno Szlacheckie;BrzeŸno Szlacheckie;Szlachecka;48;Lipnica;bytowski;pomorskie
39-230;UP Brzostek;Brzostek;Szkolna;2;Brzostek;dêbicki;podkarpackie
28-137;AP Brzostków;Brzostków;;134a;Nowy Korczyn;buski;œwiêtokrzyskie
66-502;AP Brzoza;Brzoza;;63;Strzelce Krajeñskie;strzelecko-drezdenecki;lubuskie
87-313;UP Brzozie;Brzozie;;35;Brzozie;brodnicki;kujawsko-pomorskie
21-302;AP Brzozowica Du¿a;Brzozowica Du¿a;;115A;K¹kolewnica;radzyñski;lubelskie
36-200;UP Brzozów;Brzozów;Adama Mickiewicza;10;Brzozów;brzozowski;podkarpackie
36-200;FUP Brzozów;Brzozów;3 Maja;55;Brzozów;brzozowski;podkarpackie
36-200;AP Brzozów;Brzozów;Tadeusza Koœciuszki;71;Brzozów;brzozowski;podkarpackie
97-215;AP Brzustów;Brzustów;;86;Inow³ódz;tomaszowski;³ódzkie
64-236;AP Bucz;Bucz;Kasztanowa;26;Przemêt;wolsztyñski;wielkopolskie
62-541;AP Budzis³aw Koœcielny;Budzis³aw Koœcielny;Kaliska;4;Kleczew;koniñski;wielkopolskie
35-317;AP Budziwój;Rzeszów (Budziwój);Budziwojska;204 A;Rzeszów;Rzeszów;podkarpackie
64-840;UP Budzyñ;Budzyñ;W³adys³awa £okietka;29;Budzyñ;chodzieski;wielkopolskie
64-320;UP Buk;Buk;Dworcowa;10;Buk;poznañski;wielkopolskie
22-107;AP Bukowa Ma³a;Bukowa Ma³a;;78;Sawin;che³mski;lubelskie
56-321;AP Bukowice;Bukowice;Wroc³awska;76;Kroœnice;milicki;dolnoœl¹skie
26-341;AP Bukowiec n. Pilic¹;Bukowiec nad Pilic¹;;35 A;Mniszków;opoczyñski;³ódzkie
86-122;UP Bukowiec Pomorski;Bukowiec;Floriana Ceynowy;20;Bukowiec;œwiecki;kujawsko-pomorskie
84-311;AP Bukowina;Bukowina;;40B;Cewice;lêborski;pomorskie
34-530;UP Bukowina Tatrzañska;Bukowina Tatrzañska;Koœciuszki;140;Bukowina Tatrzañska;tatrzañski;ma³opolskie
63-520;AP Bukownica;Bukownica;;43;Grabów nad Prosn¹;ostrzeszowski;wielkopolskie
32-332;AP Bukowno;Bukowno;1 Maja;74;Bukowno;olkuski;ma³opolskie
48-340;AP Burgrabice;Burgrabice;;187;G³ucho³azy;nyski;opolskie
28-100;AP Busko-Zdrój;Busko-Zdrój;Bohaterów Warszawy;67;Busko-Zdrój;buski;œwiêtokrzyskie
28-100;UP Busko-Zdrój 1;Busko-Zdrój;Adama Mickiewicza;11;Busko-Zdrój;buski;œwiêtokrzyskie
28-101;FUP Busko-Zdrój 1;Busko-Zdrój;1 Maja;18;Busko-Zdrój;buski;œwiêtokrzyskie
28-102;FUP Busko-Zdrój 1;Busko-Zdrój;os. genera³a W³adys³awa Sikorskiego;10;Busko-Zdrój;buski;œwiêtokrzyskie
28-142;FUP Busko-Zdrój 1;Tuczêpy;;33;Tuczêpy;buski;œwiêtokrzyskie
28-160;FUP Busko-Zdrój 1;Wiœlica;Rynek;24;Wiœlica;buski;œwiêtokrzyskie
10-687;AP Butryny;Butryny;;9 B;Purda;olsztyñski;warmiñsko-mazurskie
23-100;UP Bychawa;Bychawa;Marsza³ka Józefa Pi³sudskiego;7-15;Bychawa;lubelski;lubelskie
46-220;UP Byczyna;Byczyna;Stawowa;1;Byczyna;kluczborski;opolskie
85-451;AP Bydgoszcz;Bydgoszcz;Fordoñska;410;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-713;AP Bydgoszcz;Bydgoszcz;Al. Kard. Stefana Wyszyñskiego;32;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-455;AP Bydgoszcz;Bydgoszcz;œw. Maksymiliana Kolbego;46;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-307;AP Bydgoszcz;Bydgoszcz;Juliusza Kossaka;48;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-857;AP Bydgoszcz;Bydgoszcz;Ogrody;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-604;AP Bydgoszcz;Bydgoszcz;Wiœniowa;41;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;UP Bydgoszcz 1;Bydgoszcz;Jagielloñska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Fordoñska;141;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-717;FUP Bydgoszcz 1;Bydgoszcz;Gajowa;99;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Grudzi¹dzka;9/15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-020;FUP Bydgoszcz 1;Bydgoszcz;Ks. Stanis³awa Konarskiego;1/3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Kruszwicka;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-169;FUP Bydgoszcz 1;Bydgoszcz;Przyrzecze;7-13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;FUP Bydgoszcz 1;Bydgoszcz;Mariana Rejewskiego;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-202;FUP Bydgoszcz 1;Bydgoszcz;œw. Trójcy;33;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-817;FUP Bydgoszcz 1;Bydgoszcz;Toruñska;101;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-128;FUP Bydgoszcz 1;Bydgoszcz;Wa³y Jagielloñskie;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-002;UP Bydgoszcz 2;Bydgoszcz;Zygmunta Augusta;3a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
86-061;FUP Bydgoszcz 2;Brzoza;£abiszyñska;1;Nowa Wieœ Wielka;bydgoski;kujawsko-pomorskie
85-537;FUP Bydgoszcz 2;Bydgoszcz;Drzycimska;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
86-032;FUP Bydgoszcz 2;Niemcz;Pod Wierzbami;2a;Osielsko;bydgoski;kujawsko-pomorskie
86-033;FUP Bydgoszcz 2;Osielsko;Szosa Gdañska;49;Osielsko;bydgoski;kujawsko-pomorskie
85-204;UP Bydgoszcz 4;Bydgoszcz;Grunwaldzka;30;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-406;UP Bydgoszcz 6;Bydgoszcz;Lubostroñska;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-508;UP Bydgoszcz 8;Bydgoszcz;¯eglarska;131;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-810;UP Bydgoszcz 10;Bydgoszcz;Wojska Polskiego;23;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-802;FUP Bydgoszcz 10;Bydgoszcz;Sandomierska;20;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-816;FUP Bydgoszcz 10;Bydgoszcz;Œwietlicowa;9;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-825;FUP Bydgoszcz 10;Bydgoszcz;Wojska Polskiego;65A;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;UP Bydgoszcz 11;Bydgoszcz;Jerzego Rupniewskiego;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;FUP Bydgoszcz 11;Bydgoszcz;Aleje Prof. Sylwestra Kaliskiego;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-797;FUP Bydgoszcz 11;Bydgoszcz;P.por. Emilii Gierczak;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-613;UP Bydgoszcz 13;Bydgoszcz;Józefa Su³kowskiego;50;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-609;FUP Bydgoszcz 13;Bydgoszcz;Jana Karola Chodkiewicza;50;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-114;UP Bydgoszcz 14;Bydgoszcz;Karpacka;31;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-915;UP Bydgoszcz 15;Bydgoszcz;Gdañska;123;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-003;FUP Bydgoszcz 15;Bydgoszcz;Gdañska;58;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-198;FUP Bydgoszcz 15;Bydgoszcz;Œwiêtojañska;18;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-017;UP Bydgoszcz 17;Bydgoszcz;Warszawska;2;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-799;UP Bydgoszcz 19;Bydgoszcz;aleja marsz. Józefa Pi³sudskiego;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-321;UP Bydgoszcz 21;Bydgoszcz;W³adys³awa Broniewskiego;8;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-242;FUP Bydgoszcz 21;Bydgoszcz;Kcyñska;44;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-311;FUP Bydgoszcz 21;Bydgoszcz;Nakielska;81;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-323;FUP Bydgoszcz 21;Bydgoszcz;Wysoka;36;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-099;UP Bydgoszcz 23;Bydgoszcz;Gajowa;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-092;FUP Bydgoszcz 23;Bydgoszcz;Marii Curie Sk³odowskiej;26;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-123;UP Bydgoszcz 24;Bydgoszcz;Brzozowa;37;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-700;UP Bydgoszcz 27;Bydgoszcz;Po³czyñska;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-739;FUP Bydgoszcz 27;Bydgoszcz;Kijowska;39;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-788;UP Bydgoszcz 28;Bydgoszcz;Wyzwolenia;93a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-857;UP Bydgoszcz 31;Bydgoszcz;Adama Grzyma³y Siedleckiego;28;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-808;FUP Bydgoszcz 31;Bydgoszcz;Bia³ogardzka;27;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
